YYYY;agr_fra;bare_fra;forest_fra;glac_fra;lake_fra;urban_fra;scrub_fra;wetl_fra
2000;0.0;0.581;0.0;0.0;0.052;0.0;0.367;0.0
2001;0.0;0.581;0.0;0.0;0.052;0.0;0.367;0.0
2002;0.0;0.581;0.0;0.0;0.052;0.0;0.367;0.0
2003;0.0;0.581;0.0;0.0;0.052;0.0;0.367;0.0
2004;0.0;0.581;0.0;0.0;0.052;0.0;0.367;0.0
2005;0.0;0.581;0.0;0.0;0.052;0.0;0.367;0.0
2006;0.0;0.58;0.0;0.0;0.052;0.0;0.367;0.0
2007;0.0;0.58;0.0;0.0;0.052;0.0;0.367;0.0
2008;0.0;0.58;0.0;0.0;0.052;0.0;0.367;0.0
2009;0.0;0.58;0.0;0.0;0.052;0.0;0.367;0.0
2010;0.0;0.58;0.0;0.0;0.052;0.0;0.367;0.0
2011;0.0;0.58;0.0;0.0;0.052;0.0;0.367;0.0
2012;0.0;0.58;0.0;0.0;0.052;0.0;0.367;0.0
2013;0.0;0.58;0.0;0.0;0.052;0.0;0.367;0.0
2014;0.0;0.58;0.0;0.0;0.052;0.0;0.367;0.0
2015;0.0;0.58;0.0;0.0;0.052;0.0;0.367;0.0
2016;0.0;0.58;0.0;0.0;0.052;0.0;0.367;0.0
2017;0.0;0.58;0.0;0.0;0.052;0.0;0.367;0.0
2018;0.0;0.58;0.0;0.0;0.052;0.0;0.367;0.0
